customerID,actual_churn,predicted_churn,churn_probability,risk_level,feature,shap_value,feature_value
1024-GUALD,Yes,Yes,0.6748297214508057,High,is_month_to_month,0.73514915,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,tenure,0.6095878,-1.2816237461508113
1024-GUALD,Yes,Yes,0.6748297214508057,High,TotalCharges,0.32265204,-0.9980397936391076
1024-GUALD,Yes,Yes,0.6748297214508057,High,InternetService_Fiber optic,-0.27981812,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,MonthlyCharges,-0.26020896,-1.3316538102932427
1024-GUALD,Yes,Yes,0.6748297214508057,High,TechSupport_No,0.22401507,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PaymentMethod_Electronic check,0.20169583,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,OnlineSecurity_No,0.17324504,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,average_monthly_revenue,-0.16199633,-1.3281018028759455
1024-GUALD,Yes,Yes,0.6748297214508057,High,PaperlessBilling_No,0.120662875,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,MultipleLines_No,0.11658851,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,OnlineBackup_No,0.05355759,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,SeniorCitizen,-0.041813813,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Contract_One year,-0.037071634,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,has_security_service,0.03406164,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PhoneService_No,0.030815791,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,StreamingTV_Yes,-0.030346021,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,InternetService_DSL,-0.029764744,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,gender_Female,-0.024118375,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,has_streaming_service,-0.020997465,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,StreamingMovies_Yes,-0.020919695,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Dependents_No,0.020364983,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Contract_Two year,0.018968826,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Partner_No,0.012625087,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,total_services,0.012514903,-1.6335607622201163
1024-GUALD,Yes,Yes,0.6748297214508057,High,StreamingMovies_No,-0.010737339,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,StreamingTV_No,-0.009385544,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,DeviceProtection_Yes,-0.0035264827,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,tenure_group_25-48,0.0025225084,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PaymentMethod_Credit card (automatic),0.0017218826,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,TechSupport_Yes,0.0017196543,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,tenure_group_13-24,0.0016135436,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PaymentMethod_Mailed check,-0.0006186504,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,OnlineSecurity_Yes,0.00042743117,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,MultipleLines_Yes,-0.00035693537,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,OnlineBackup_Yes,-0.0002601812,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,DeviceProtection_No,-0.000159163,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PaymentMethod_Bank transfer (automatic),0.00010377937,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,is_long_term_customer,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,MultipleLines_No phone service,0.0,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PhoneService_Yes,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Dependents_Yes,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Partner_Yes,0.0,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,gender_Male,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,InternetService_No,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,OnlineSecurity_No internet service,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,OnlineBackup_No internet service,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,StreamingTV_No internet service,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,TechSupport_No internet service,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,DeviceProtection_No internet service,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,StreamingMovies_No internet service,0.0,0.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,PaperlessBilling_Yes,0.0,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,Contract_Month-to-month,0.0,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,tenure_group_0-12,0.0,1.0
1024-GUALD,Yes,Yes,0.6748297214508057,High,tenure_group_49-72,0.0,0.0
