customerID,Churn,churn_prediction,churn_probability,risk_level,MonthlyCharges,tenure,Contract,estimated_ltv,ltv_segment,retention_priority
4550-VBOFE,Yes,Yes,0.6048747897148132,High,102.95,70,Month-to-month,7206.5,High,Critical
9090-SGQXL,Yes,Yes,0.6374327540397644,High,105.3,68,Month-to-month,7160.4,High,Critical
0946-CLJTI,Yes,Yes,0.6768035292625427,High,98.7,58,Month-to-month,5724.6,High,Critical
4062-HBMOS,No,Yes,0.6144905090332031,High,103.05,52,Month-to-month,5596.96051826477,High,Critical
6646-VRFOL,Yes,Yes,0.6462583541870117,High,103.85,53,Month-to-month,5504.049999999999,High,Critical
4484-GLZOU,Yes,Yes,0.6049402356147766,High,105.05,52,Month-to-month,5462.599999999999,High,Critical
7056-IMHCC,Yes,Yes,0.6462583541870117,High,101.9,53,Month-to-month,5400.700000000001,High,Critical
1264-BYWMS,Yes,Yes,0.6241048574447632,High,96.8,55,Month-to-month,5324.0,High,Critical
3384-CTMSF,No,Yes,0.6154482960700989,High,104.1,47,Month-to-month,5132.890994274616,High,Critical
8818-DOPVL,No,Yes,0.6122334003448486,High,104.45,46,Month-to-month,5047.713328003883,High,Critical
8938-UMKPI,Yes,Yes,0.6000671982765198,High,106.4,47,Month-to-month,5000.8,High,Critical
8276-MQBYC,Yes,Yes,0.6370954513549805,High,97.8,51,Month-to-month,4987.8,High,Critical
6651-AZVTJ,Yes,Yes,0.6095619201660156,High,99.8,49,Month-to-month,4890.2,High,Critical
7480-QNVZJ,Yes,Yes,0.6663329601287842,High,95.7,50,Month-to-month,4785.0,High,Critical
1751-NCDLI,No,Yes,0.670413613319397,High,98.85,46,Month-to-month,4742.577685940266,High,Critical
5655-JSMZM,Yes,Yes,0.6886519193649292,High,96.2,49,Month-to-month,4713.8,High,Critical
8634-MPHTR,Yes,Yes,0.7044329047203064,High,100.05,47,Month-to-month,4702.349999999999,High,Critical
4433-JCGCG,Yes,Yes,0.690277636051178,High,101.0,46,Month-to-month,4646.0,High,Critical
7599-FKVXZ,Yes,Yes,0.6377748250961304,High,106.15,42,Month-to-month,4458.3,High,Critical
2800-QQUSO,No,Yes,0.6342795491218567,High,100.3,42,Month-to-month,4432.690567338466,High,Critical
7142-HVGBG,Yes,Yes,0.6560408473014832,High,103.0,43,Month-to-month,4429.0,High,Critical
6661-HBGWL,Yes,Yes,0.6000401973724365,High,104.75,42,Month-to-month,4399.5,High,Critical
9600-NAXZN,Yes,Yes,0.6572788953781128,High,101.4,43,Month-to-month,4360.2,High,Critical
0337-CNPZE,Yes,Yes,0.6368243098258972,High,106.3,41,Month-to-month,4358.3,High,Critical
8374-XGEJJ,Yes,Yes,0.6560408473014832,High,101.0,43,Month-to-month,4343.0,High,Critical
9851-QXEEQ,Yes,Yes,0.6620785593986511,High,104.7,41,Month-to-month,4292.7,High,Critical
1723-HKXJQ,Yes,Yes,0.6421533226966858,High,101.75,42,Month-to-month,4273.5,High,Critical
5980-NOPLP,Yes,Yes,0.636436402797699,High,96.1,44,Month-to-month,4228.4,High,Critical
2439-LYPMQ,No,Yes,0.6336162686347961,High,102.6,38,Month-to-month,4124.345825028419,High,Critical
8111-SLLHI,Yes,Yes,0.6344729661941528,High,105.65,39,Month-to-month,4120.35,High,Critical
2845-AFFTX,Yes,Yes,0.7306296825408936,High,99.8,41,Month-to-month,4091.7999999999997,High,Critical
0420-HLGXF,No,Yes,0.6723641157150269,High,99.75,39,Month-to-month,4086.3400767445564,High,Critical
4289-DTDKW,Yes,Yes,0.607745885848999,High,101.3,40,Month-to-month,4052.0,High,Critical
